"year","country","dengue_count"
2003,"Venezuela",161
2003,"Argentina",29
2003,"Bolivia",21
2003,"Brazil",52
2003,"India",187
2003,"Indonesia",47
2003,"Mexico",65
2003,"Philippines",64
2003,"Singapore",128
2003,"Venezuela",163
2003,"Argentina",27
2003,"Bolivia",18
2003,"Brazil",13
2003,"India",180
2003,"Indonesia",49
2003,"Mexico",68
2003,"Philippines",64
2003,"Singapore",123
2003,"Venezuela",153
2003,"Argentina",24
2003,"Bolivia",16
2003,"Brazil",44
2003,"India",116
2003,"Indonesia",39
2003,"Mexico",95
2003,"Philippines",81
2003,"Singapore",112
2003,"Venezuela",151
2003,"Argentina",22
2003,"Bolivia",19
2003,"Brazil",36
2003,"India",101
2003,"Indonesia",39
2003,"Mexico",92
2003,"Philippines",91
2003,"Singapore",131
2003,"Venezuela",150
2003,"Argentina",22
2003,"Bolivia",22
2003,"Brazil",32
2003,"India",100
2003,"Indonesia",39
2003,"Mexico",89
2003,"Philippines",134
2003,"Singapore",127
2003,"Venezuela",146
2003,"Argentina",19
2003,"Bolivia",18
2003,"Brazil",34
2003,"India",103
2003,"Indonesia",64
2003,"Mexico",63
2003,"Philippines",163
2003,"Singapore",116
2003,"Venezuela",152
2003,"Argentina",19
2003,"Bolivia",18
2003,"Brazil",11
2003,"India",135
2003,"Indonesia",55
2003,"Mexico",84
2003,"Philippines",152
2003,"Singapore",111
2003,"Venezuela",159
2003,"Argentina",19
2003,"Bolivia",19
2003,"Brazil",18
2003,"India",143
2003,"Indonesia",47
2003,"Mexico",137
2003,"Philippines",149
2003,"Singapore",109
2003,"Venezuela",166
2003,"Argentina",19
2003,"Bolivia",31
2003,"Brazil",34
2003,"India",196
2003,"Indonesia",47
2003,"Mexico",165
2003,"Philippines",147
2003,"Singapore",113
2003,"Venezuela",175
2003,"Argentina",19
2003,"Bolivia",41
2003,"Brazil",15
2003,"India",242
2003,"Indonesia",63
2003,"Mexico",124
2003,"Philippines",137
2003,"Singapore",123
2003,"Venezuela",162
2003,"Argentina",19
2003,"Bolivia",49
2003,"Brazil",16
2003,"India",292
2003,"Indonesia",54
2003,"Mexico",188
2003,"Philippines",123
2003,"Singapore",120
2003,"Venezuela",166
2003,"Argentina",19
2003,"Bolivia",35
2003,"Brazil",20
2003,"India",565
2003,"Indonesia",69
2003,"Mexico",182
2003,"Philippines",141
2003,"Singapore",108
2003,"Venezuela",160
2003,"Argentina",19
2003,"Bolivia",44
2003,"Brazil",41
2003,"India",928
2003,"Indonesia",75
2003,"Mexico",160
2003,"Philippines",123
2003,"Singapore",108
2003,"Venezuela",192
2003,"Argentina",22
2003,"Bolivia",54
2003,"Brazil",26
2003,"India",990
2003,"Indonesia",68
2003,"Mexico",157
2003,"Philippines",109
2003,"Singapore",119
2003,"Venezuela",231
2003,"Argentina",24
2003,"Bolivia",35
2003,"Brazil",34
2003,"India",910
2003,"Indonesia",76
2003,"Mexico",122
2003,"Philippines",103
2003,"Singapore",174
2003,"Venezuela",298
2003,"Argentina",29
2003,"Bolivia",32
2003,"Brazil",38
2003,"India",679
2003,"Indonesia",75
2003,"Mexico",159
2003,"Philippines",96
2003,"Singapore",195
2003,"Venezuela",302
2003,"Argentina",27
2003,"Bolivia",44
2003,"Brazil",38
2003,"India",509
2003,"Indonesia",60
2003,"Mexico",132
2003,"Philippines",90
2003,"Singapore",157
2003,"Venezuela",262
2003,"Argentina",27
2003,"Bolivia",31
2003,"Brazil",46
2003,"India",327
2003,"Indonesia",47
2003,"Mexico",88
2003,"Philippines",91
2003,"Singapore",126
2003,"Venezuela",238
2003,"Argentina",27
2003,"Bolivia",30
2003,"Brazil",68
2003,"India",245
2003,"Indonesia",55
2003,"Mexico",127
2003,"Philippines",88
2003,"Singapore",116
2003,"Venezuela",231
2003,"Argentina",27
2003,"Bolivia",24
2003,"Brazil",63
2003,"India",178
2003,"Indonesia",68
2003,"Mexico",79
2003,"Philippines",89
2003,"Singapore",129
2003,"Venezuela",252
2003,"Argentina",24
2003,"Bolivia",16
2003,"Brazil",60
2003,"India",133
2003,"Indonesia",58
2003,"Mexico",83
2003,"Philippines",91
2003,"Singapore",112
2003,"Venezuela",286
2003,"Argentina",22
2003,"Bolivia",12
2003,"Brazil",55
2003,"India",94
2003,"Indonesia",45
2003,"Mexico",66
2003,"Philippines",95
2003,"Singapore",109
2003,"Venezuela",360
2003,"Argentina",19
2003,"Bolivia",11
2003,"Brazil",53
2003,"India",100
2003,"Indonesia",55
2003,"Mexico",55
2003,"Philippines",98
2003,"Singapore",104
2003,"Venezuela",324
2003,"Argentina",19
2003,"Bolivia",10
2003,"Brazil",49
2003,"India",87
2003,"Indonesia",39
2003,"Mexico",42
2003,"Philippines",109
2003,"Singapore",117
2003,"Venezuela",321
2004,"Argentina",19
2004,"Bolivia",10
2004,"Brazil",85
2004,"India",70
2004,"Indonesia",65
2004,"Mexico",41
2004,"Philippines",105
2004,"Singapore",115
2004,"Venezuela",285
2004,"Argentina",17
2004,"Bolivia",18
2004,"Brazil",95
2004,"India",72
2004,"Indonesia",90
2004,"Mexico",36
2004,"Philippines",96
2004,"Singapore",109
2004,"Venezuela",256
2004,"Argentina",17
2004,"Bolivia",70
2004,"Brazil",72
2004,"India",62
2004,"Indonesia",39
2004,"Mexico",34
2004,"Philippines",97
2004,"Singapore",106
2004,"Venezuela",251
2004,"Argentina",19
2004,"Bolivia",91
2004,"Brazil",57
2004,"India",59
2004,"Indonesia",65
2004,"Mexico",33
2004,"Philippines",93
2004,"Singapore",108
2004,"Venezuela",284
2004,"Argentina",31
2004,"Bolivia",68
2004,"Brazil",69
2004,"India",43
2004,"Indonesia",58
2004,"Mexico",37
2004,"Philippines",88
2004,"Singapore",109
2004,"Venezuela",283
2004,"Argentina",39
2004,"Bolivia",46
2004,"Brazil",67
2004,"India",33
2004,"Indonesia",122
2004,"Mexico",32
2004,"Philippines",80
2004,"Singapore",145
2004,"Venezuela",227
2004,"Argentina",46
2004,"Bolivia",34
2004,"Brazil",77
2004,"India",58
2004,"Indonesia",295
2004,"Mexico",31
2004,"Philippines",74
2004,"Singapore",194
2004,"Venezuela",199
2004,"Argentina",41
2004,"Bolivia",34
2004,"Brazil",88
2004,"India",39
2004,"Indonesia",690
2004,"Mexico",33
2004,"Philippines",71
2004,"Singapore",178
2004,"Venezuela",195
2004,"Argentina",39
2004,"Bolivia",30
2004,"Brazil",85
2004,"India",31
2004,"Indonesia",1000
2004,"Mexico",40
2004,"Philippines",73
2004,"Singapore",172
2004,"Venezuela",207
2004,"Argentina",39
2004,"Bolivia",28
2004,"Brazil",96
2004,"India",23
2004,"Indonesia",800
2004,"Mexico",36
2004,"Philippines",70
2004,"Singapore",161
2004,"Venezuela",188
2004,"Argentina",53
2004,"Bolivia",23
2004,"Brazil",71
2004,"India",39
2004,"Indonesia",521
2004,"Mexico",40
2004,"Philippines",65
2004,"Singapore",164
2004,"Venezuela",183
2004,"Argentina",65
2004,"Bolivia",37
2004,"Brazil",85
2004,"India",23
2004,"Indonesia",424
2004,"Mexico",47
2004,"Philippines",60
2004,"Singapore",135
2004,"Venezuela",184
2004,"Argentina",63
2004,"Bolivia",56
2004,"Brazil",96
2004,"India",26
2004,"Indonesia",205
2004,"Mexico",52
2004,"Philippines",60
2004,"Singapore",170
2004,"Venezuela",168
2004,"Argentina",46
2004,"Bolivia",42
2004,"Brazil",71
2004,"India",37
2004,"Indonesia",262
2004,"Mexico",51
2004,"Philippines",57
2004,"Singapore",149
2004,"Venezuela",176
2004,"Argentina",41
2004,"Bolivia",35
2004,"Brazil",54
2004,"India",27
2004,"Indonesia",212
2004,"Mexico",51
2004,"Philippines",58
2004,"Singapore",127
2004,"Venezuela",162
2004,"Argentina",36
2004,"Bolivia",40
2004,"Brazil",67
2004,"India",31
2004,"Indonesia",186
2004,"Mexico",49
2004,"Philippines",57
2004,"Singapore",118
2004,"Venezuela",162
2004,"Argentina",41
2004,"Bolivia",45
2004,"Brazil",27
2004,"India",19
2004,"Indonesia",151
2004,"Mexico",44
2004,"Philippines",56
2004,"Singapore",127
2004,"Venezuela",187
2004,"Argentina",41
2004,"Bolivia",51
2004,"Brazil",39
2004,"India",16
2004,"Indonesia",142
2004,"Mexico",38
2004,"Philippines",54
2004,"Singapore",150
2004,"Venezuela",206
2004,"Argentina",41
2004,"Bolivia",49
2004,"Brazil",43
2004,"India",21
2004,"Indonesia",127
2004,"Mexico",51
2004,"Philippines",53
2004,"Singapore",138
2004,"Venezuela",259
2004,"Argentina",36
2004,"Bolivia",32
2004,"Brazil",31
2004,"India",37
2004,"Indonesia",139
2004,"Mexico",60
2004,"Philippines",56
2004,"Singapore",120
2004,"Venezuela",236
2004,"Argentina",36
2004,"Bolivia",26
2004,"Brazil",40
2004,"India",29
2004,"Indonesia",98
2004,"Mexico",114
2004,"Philippines",55
2004,"Singapore",161
2004,"Venezuela",202
2004,"Argentina",39
2004,"Bolivia",32
2004,"Brazil",30
2004,"India",37
2004,"Indonesia",82
2004,"Mexico",71
2004,"Philippines",56
2004,"Singapore",164
2004,"Venezuela",195
2004,"Argentina",36
2004,"Bolivia",39
2004,"Brazil",32
2004,"India",40
2004,"Indonesia",84
2004,"Mexico",60
2004,"Philippines",54
2004,"Singapore",137
2004,"Venezuela",186
2004,"Argentina",29
2004,"Bolivia",28
2004,"Brazil",24
2004,"India",40
2004,"Indonesia",76
2004,"Mexico",73
2004,"Philippines",58
2004,"Singapore",132
2004,"Venezuela",166
2004,"Argentina",27
2004,"Bolivia",24
2004,"Brazil",22
2004,"India",57
2004,"Indonesia",104
2004,"Mexico",50
2004,"Philippines",63
2004,"Singapore",128
2004,"Venezuela",172
2004,"Argentina",24
2004,"Bolivia",15
2004,"Brazil",32
2004,"India",48
2004,"Indonesia",91
2004,"Mexico",59
2004,"Philippines",89
2004,"Singapore",145
2004,"Venezuela",180
2004,"Argentina",22
2004,"Bolivia",15
2004,"Brazil",17
2004,"India",54
2004,"Indonesia",68
2004,"Mexico",67
2004,"Philippines",92
2004,"Singapore",134
2004,"Venezuela",163
2004,"Argentina",22
2004,"Bolivia",15
2004,"Brazil",28
2004,"India",56
2004,"Indonesia",111
2004,"Mexico",57
2004,"Philippines",95
2004,"Singapore",154
2004,"Venezuela",158
2004,"Argentina",19
2004,"Bolivia",21
2004,"Brazil",10
2004,"India",57
2004,"Indonesia",66
2004,"Mexico",69
2004,"Philippines",114
2004,"Singapore",160
2004,"Venezuela",151
2004,"Argentina",17
2004,"Bolivia",26
2004,"Brazil",17
2004,"India",93
2004,"Indonesia",87
2004,"Mexico",104
2004,"Philippines",112
2004,"Singapore",194
2004,"Venezuela",158
2004,"Argentina",17
2004,"Bolivia",25
2004,"Brazil",26
2004,"India",99
2004,"Indonesia",77
2004,"Mexico",128
2004,"Philippines",107
2004,"Singapore",188
2004,"Venezuela",169
2004,"Argentina",17
2004,"Bolivia",29
2004,"Brazil",13
2004,"India",99
2004,"Indonesia",75
2004,"Mexico",178
2004,"Philippines",99
2004,"Singapore",205
2004,"Venezuela",165
2004,"Argentina",24
2004,"Bolivia",20
2004,"Brazil",18
2004,"India",75
2004,"Indonesia",78
2004,"Mexico",129
2004,"Philippines",96
2004,"Singapore",193
2004,"Venezuela",154
2004,"Argentina",22
2004,"Bolivia",17
2004,"Brazil",20
2004,"India",80
2004,"Indonesia",106
2004,"Mexico",131
2004,"Philippines",90
2004,"Singapore",178
2004,"Venezuela",149
2004,"Argentina",22
2004,"Bolivia",18
2004,"Brazil",19
2004,"India",85
2004,"Indonesia",83
2004,"Mexico",110
2004,"Philippines",98
2004,"Singapore",164
2004,"Venezuela",148
2004,"Argentina",19
2004,"Bolivia",16
2004,"Brazil",31
2004,"India",82
2004,"Indonesia",77
2004,"Mexico",106
2004,"Philippines",131
2004,"Singapore",193
2004,"Venezuela",157
2004,"Argentina",22
2004,"Bolivia",14
2004,"Brazil",19
2004,"India",103
2004,"Indonesia",72
2004,"Mexico",124
2004,"Philippines",153
2004,"Singapore",165
2004,"Venezuela",151
2004,"Argentina",19
2004,"Bolivia",11
2004,"Brazil",22
2004,"India",127
2004,"Indonesia",62
2004,"Mexico",138
2004,"Philippines",153
2004,"Singapore",208
2004,"Venezuela",159
2004,"Argentina",27
2004,"Bolivia",11
2004,"Brazil",26
2004,"India",120
2004,"Indonesia",79
2004,"Mexico",135
2004,"Philippines",139
2004,"Singapore",178
2004,"Venezuela",173
2004,"Argentina",22
2004,"Bolivia",12
2004,"Brazil",21
2004,"India",114
2004,"Indonesia",82
2004,"Mexico",115
2004,"Philippines",118
2004,"Singapore",174
2004,"Venezuela",198
2004,"Argentina",29
2004,"Bolivia",15
2004,"Brazil",15
2004,"India",137
2004,"Indonesia",71
2004,"Mexico",124
2004,"Philippines",114
2004,"Singapore",188
2004,"Venezuela",202
2004,"Argentina",27
2004,"Bolivia",18
2004,"Brazil",45
2004,"India",171
2004,"Indonesia",115
2004,"Mexico",148
2004,"Philippines",101
2004,"Singapore",186
2004,"Venezuela",240
2004,"Argentina",27
2004,"Bolivia",21
2004,"Brazil",41
2004,"India",173
2004,"Indonesia",78
2004,"Mexico",138
2004,"Philippines",97
2004,"Singapore",165
2004,"Venezuela",230
2004,"Argentina",29
2004,"Bolivia",20
2004,"Brazil",47
2004,"India",164
2004,"Indonesia",66
2004,"Mexico",73
2004,"Philippines",90
2004,"Singapore",177
2004,"Venezuela",221
2004,"Argentina",29
2004,"Bolivia",17
2004,"Brazil",46
2004,"India",182
2004,"Indonesia",67
2004,"Mexico",75
2004,"Philippines",96
2004,"Singapore",187
2004,"Venezuela",227
2004,"Argentina",27
2004,"Bolivia",16
2004,"Brazil",59
2004,"India",155
2004,"Indonesia",84
2004,"Mexico",78
2004,"Philippines",90
2004,"Singapore",195
2004,"Venezuela",183
2004,"Argentina",27
2004,"Bolivia",17
2004,"Brazil",78
2004,"India",125
2004,"Indonesia",90
2004,"Mexico",72
2004,"Philippines",95
2004,"Singapore",182
2004,"Venezuela",171
2004,"Argentina",22
2004,"Bolivia",22
2004,"Brazil",57
2004,"India",93
2004,"Indonesia",160
2004,"Mexico",61
2004,"Philippines",90
2004,"Singapore",193
2004,"Venezuela",201
2004,"Argentina",19
2004,"Bolivia",19
2004,"Brazil",32
2004,"India",93
2004,"Indonesia",97
2004,"Mexico",70
2004,"Philippines",98
2004,"Singapore",185
2004,"Venezuela",180
2004,"Argentina",17
2004,"Bolivia",16
2004,"Brazil",33
2004,"India",71
2004,"Indonesia",112
2004,"Mexico",49
2004,"Philippines",105
2004,"Singapore",185
2004,"Venezuela",169
2004,"Argentina",14
2004,"Bolivia",16
2004,"Brazil",40
2004,"India",62
2004,"Indonesia",93
2004,"Mexico",48
2004,"Philippines",99
2004,"Singapore",187
2004,"Venezuela",159
2004,"Argentina",14
2004,"Bolivia",15
2004,"Brazil",45
2004,"India",55
2004,"Indonesia",72
2004,"Mexico",42
2004,"Philippines",100
2004,"Singapore",186
2004,"Venezuela",160
2005,"Argentina",12
2005,"Bolivia",15
2005,"Brazil",63
2005,"India",39
2005,"Indonesia",113
2005,"Mexico",48
2005,"Philippines",103
2005,"Singapore",167
2005,"Venezuela",162
2005,"Argentina",12
2005,"Bolivia",15
2005,"Brazil",57
2005,"India",34
2005,"Indonesia",79
2005,"Mexico",38
2005,"Philippines",101
2005,"Singapore",194
2005,"Venezuela",174
2005,"Argentina",12
2005,"Bolivia",20
2005,"Brazil",70
2005,"India",32
2005,"Indonesia",104
2005,"Mexico",40
2005,"Philippines",103
2005,"Singapore",180
2005,"Venezuela",176
2005,"Argentina",10
2005,"Bolivia",29
2005,"Brazil",62
2005,"India",30
2005,"Indonesia",171
2005,"Mexico",45
2005,"Philippines",100
2005,"Singapore",184
2005,"Venezuela",183
2005,"Argentina",10
2005,"Bolivia",41
2005,"Brazil",62
2005,"India",20
2005,"Indonesia",206
2005,"Mexico",33
2005,"Philippines",93
2005,"Singapore",251
2005,"Venezuela",210
2005,"Argentina",10
2005,"Bolivia",38
2005,"Brazil",74
2005,"India",35
2005,"Indonesia",328
2005,"Mexico",36
2005,"Philippines",89
2005,"Singapore",271
2005,"Venezuela",183
2005,"Argentina",14
2005,"Bolivia",32
2005,"Brazil",86
2005,"India",27
2005,"Indonesia",390
2005,"Mexico",40
2005,"Philippines",78
2005,"Singapore",236
2005,"Venezuela",165
2005,"Argentina",14
2005,"Bolivia",29
2005,"Brazil",72
2005,"India",15
2005,"Indonesia",278
2005,"Mexico",36
2005,"Philippines",73
2005,"Singapore",291
2005,"Venezuela",188
2005,"Argentina",12
2005,"Bolivia",18
2005,"Brazil",40
2005,"India",19
2005,"Indonesia",177
2005,"Mexico",55
2005,"Philippines",70
2005,"Singapore",184
2005,"Venezuela",196
2005,"Argentina",14
2005,"Bolivia",28
2005,"Brazil",79
2005,"India",14
2005,"Indonesia",211
2005,"Mexico",52
2005,"Philippines",71
2005,"Singapore",165
2005,"Venezuela",170
2005,"Argentina",19
2005,"Bolivia",28
2005,"Brazil",68
2005,"India",29
2005,"Indonesia",174
2005,"Mexico",51
2005,"Philippines",68
2005,"Singapore",153
2005,"Venezuela",162
2005,"Argentina",24
2005,"Bolivia",24
2005,"Brazil",74
2005,"India",22
2005,"Indonesia",159
2005,"Mexico",47
2005,"Philippines",68
2005,"Singapore",194
2005,"Venezuela",164
2005,"Argentina",31
2005,"Bolivia",30
2005,"Brazil",91
2005,"India",18
2005,"Indonesia",181
2005,"Mexico",49
2005,"Philippines",65
2005,"Singapore",204
2005,"Venezuela",170
2005,"Argentina",27
2005,"Bolivia",28
2005,"Brazil",67
2005,"India",8
2005,"Indonesia",132
2005,"Mexico",35
2005,"Philippines",61
2005,"Singapore",202
2005,"Venezuela",172
2005,"Argentina",24
2005,"Bolivia",51
2005,"Brazil",57
2005,"India",16
2005,"Indonesia",176
2005,"Mexico",51
2005,"Philippines",59
2005,"Singapore",181
2005,"Venezuela",164
2005,"Argentina",22
2005,"Bolivia",68
2005,"Brazil",62
2005,"India",13
2005,"Indonesia",135
2005,"Mexico",49
2005,"Philippines",61
2005,"Singapore",172
2005,"Venezuela",167
2005,"Argentina",24
2005,"Bolivia",51
2005,"Brazil",62
2005,"India",15
2005,"Indonesia",124
2005,"Mexico",53
2005,"Philippines",61
2005,"Singapore",177
2005,"Venezuela",162
2005,"Argentina",29
2005,"Bolivia",44
2005,"Brazil",58
2005,"India",13
2005,"Indonesia",129
2005,"Mexico",51
2005,"Philippines",60
2005,"Singapore",187
2005,"Venezuela",174
2005,"Argentina",24
2005,"Bolivia",45
2005,"Brazil",59
2005,"India",21
2005,"Indonesia",139
2005,"Mexico",56
2005,"Philippines",59
2005,"Singapore",181
2005,"Venezuela",175
2005,"Argentina",22
2005,"Bolivia",45
2005,"Brazil",63
2005,"India",44
2005,"Indonesia",98
2005,"Mexico",57
2005,"Philippines",62
2005,"Singapore",178
2005,"Venezuela",190
2005,"Argentina",19
2005,"Bolivia",45
2005,"Brazil",50
2005,"India",28
2005,"Indonesia",101
2005,"Mexico",63
2005,"Philippines",59
2005,"Singapore",144
2005,"Venezuela",181
2005,"Argentina",19
2005,"Bolivia",41
2005,"Brazil",67
2005,"India",31
2005,"Indonesia",110
2005,"Mexico",70
2005,"Philippines",71
2005,"Singapore",162
2005,"Venezuela",192
2005,"Argentina",17
2005,"Bolivia",24
2005,"Brazil",56
2005,"India",28
2005,"Indonesia",98
2005,"Mexico",75
2005,"Philippines",79
2005,"Singapore",175
2005,"Venezuela",176
2005,"Argentina",22
2005,"Bolivia",30
2005,"Brazil",56
2005,"India",52
2005,"Indonesia",70
2005,"Mexico",89
2005,"Philippines",83
2005,"Singapore",181
2005,"Venezuela",175
2005,"Argentina",22
2005,"Bolivia",34
2005,"Brazil",50
2005,"India",28
2005,"Indonesia",72
2005,"Mexico",89
2005,"Philippines",95
2005,"Singapore",204
2005,"Venezuela",200
2005,"Argentina",22
2005,"Bolivia",22
2005,"Brazil",41
2005,"India",55
2005,"Indonesia",86
2005,"Mexico",88
2005,"Philippines",128
2005,"Singapore",232
2005,"Venezuela",211
2005,"Argentina",19
2005,"Bolivia",14
2005,"Brazil",42
2005,"India",51
2005,"Indonesia",100
2005,"Mexico",100
2005,"Philippines",136
2005,"Singapore",221
2005,"Venezuela",186
2005,"Argentina",17
2005,"Bolivia",11
2005,"Brazil",34
2005,"India",75
2005,"Indonesia",93
2005,"Mexico",81
2005,"Philippines",133
2005,"Singapore",226
2005,"Venezuela",183
2005,"Argentina",14
2005,"Bolivia",11
2005,"Brazil",35
2005,"India",134
2005,"Indonesia",111
2005,"Mexico",104
2005,"Philippines",162
2005,"Singapore",250
2005,"Venezuela",222
2005,"Argentina",12
2005,"Bolivia",7
2005,"Brazil",51
2005,"India",130
2005,"Indonesia",103
2005,"Mexico",135
2005,"Philippines",185
2005,"Singapore",291
2005,"Venezuela",196
2005,"Argentina",12
2005,"Bolivia",8
2005,"Brazil",49
2005,"India",93
2005,"Indonesia",103
2005,"Mexico",151
2005,"Philippines",250
2005,"Singapore",289
2005,"Venezuela",218
2005,"Argentina",19
2005,"Bolivia",7
2005,"Brazil",52
2005,"India",172
2005,"Indonesia",152
2005,"Mexico",154
2005,"Philippines",320
2005,"Singapore",247
2005,"Venezuela",180
2005,"Argentina",24
2005,"Bolivia",9
2005,"Brazil",52
2005,"India",218
2005,"Indonesia",200
2005,"Mexico",136
2005,"Philippines",367
2005,"Singapore",257
2005,"Venezuela",255
2005,"Argentina",27
2005,"Bolivia",20
2005,"Brazil",26
2005,"India",228
2005,"Indonesia",219
2005,"Mexico",99
2005,"Philippines",295
2005,"Singapore",365
2005,"Venezuela",217
2005,"Argentina",29
2005,"Bolivia",23
2005,"Brazil",35
2005,"India",299
2005,"Indonesia",188
2005,"Mexico",127
2005,"Philippines",325
2005,"Singapore",402
2005,"Venezuela",197
2005,"Argentina",29
2005,"Bolivia",30
2005,"Brazil",26
2005,"India",355
2005,"Indonesia",157
2005,"Mexico",143
2005,"Philippines",333
2005,"Singapore",566
2005,"Venezuela",229
2005,"Argentina",22
2005,"Bolivia",33
2005,"Brazil",25
2005,"India",298
2005,"Indonesia",124
2005,"Mexico",177
2005,"Philippines",228
2005,"Singapore",1000
2005,"Venezuela",226
2005,"Argentina",19
2005,"Bolivia",20
2005,"Brazil",29
2005,"India",247
2005,"Indonesia",151
2005,"Mexico",208
2005,"Philippines",213
2005,"Singapore",839
2005,"Venezuela",190
2005,"Argentina",14
2005,"Bolivia",24
2005,"Brazil",29
2005,"India",224
2005,"Indonesia",135
2005,"Mexico",167
2005,"Philippines",165
2005,"Singapore",815
2005,"Venezuela",229
2005,"Argentina",14
2005,"Bolivia",22
2005,"Brazil",28
2005,"India",213
